event,det,row,col,a00,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29
1,181,11,117,24,42,32,22,24,32,28,42,64,71,59,46,40,31,26,28,25,25,24,27,28,23,26,25,21,18,20,18,17,21
1,181,11,118,11,14,11,11,13,11,11,12,13,16,12,12,12,10,9,10,11,14,10,8,11,9,11,9,12,9,12,11,9,12
1,183,10,120,12,10,11,11,10,12,8,12,9,10,10,8,11,10,9,11,11,12,7,9,9,11,10,7,12,10,10,8,8,10
1,183,10,121,12,11,11,10,11,11,10,11,9,11,10,11,11,13,9,10,12,10,10,10,12,10,10,9,11,10,12,9,9,10
1,183,10,122,11,8,14,13,9,10,11,10,11,10,9,9,9,9,8,9,10,9,9,10,12,8,10,10,10,12,9,10,8,10
1,183,11,118,12,9,9,10,9,11,11,13,11,9,10,11,11,9,11,9,14,12,12,12,13,12,13,10,12,10,10,11,10,12
1,183,11,119,11,12,15,23,18,13,13,18,27,27,25,26,32,38,36,39,47,64,66,66,61,50,40,32,31,27,24,22,21,19
1,183,11,120,25,34,123,227,172,111,83,92,128,137,122,101,96,93,81,76,71,68,69,61,53,48,42,36,34,31,29,27,26,25
1,183,11,121,31,50,77,114,85,56,44,38,39,38,34,27,26,25,19,25,18,18,19,20,18,17,15,16,12,16,13,15,15,13
1,183,11,122,9,9,12,10,12,11,10,10,10,10,10,7,12,8,10,8,10,9,11,12,8,10,8,12,11,9,9,8,11,8
1,184,11,120,10,11,12,11,9,8,11,12,10,10,12,9,10,9,10,8,8,7,10,8,8,10,12,10,11,11,11,10,11,11
1,184,11,121,9,9,9,11,11,10,11,12,11,7,10,11,12,14,13,9,13,12,12,12,9,10,11,13,11,13,18,21,15,13
1,184,11,122,19,33,40,36,30,25,24,19,23,30,27,22,24,31,35,33,30,23,21,21,23,24,24,24,23,31,53,50,37,29
1,184,11,123,44,81,82,64,46,36,32,28,28,29,26,25,25,23,26,24,22,20,16,17,16,16,15,17,14,15,15,18,14,12
1,184,11,124,12,15,12,12,14,13,10,10,11,11,11,9,9,9,10,11,12,7,12,11,9,10,8,9,8,9,12,10,9,12
1,185,10,122,11,9,10,11,9,10,10,10,9,8,11,11,10,13,13,14,11,13,11,14,16,17,15,14,13,13,12,13,11,10
1,185,10,123,14,16,20,14,14,15,16,16,19,20,28,36,32,42,59,70,69,60,53,64,81,72,53,38,33,32,27,26,20,24
1,185,10,124,48,164,188,125,89,72,71,68,63,59,61,65,53,52,58,55,51,43,39,36,35,31,28,25,21,22,22,19,20,20
1,185,10,125,32,82,78,55,38,28,24,24,20,20,16,19,18,15,16,15,15,17,13,13,14,11,13,11,10,10,13,14,10,11
1,185,10,125,32,82,78,55,38,28,24,24,20,20,16,19,18,15,16,15,15,17,13,13,14,11,13,11,10,10,13,14,10,11
